id,name,required_skills,posted
1225,BuildRight Co.,"inspection, maintenance, pouring",2025-06-17
1226,MegaConstruct,"fabrication, framing, design, water systems, metal cutting",2025-06-09
1227,ABC Constructions,"green building, insulation, plumbing",2025-07-02
1228,MegaConstruct,"green building, circuits, HV lines, pipe fitting, circuit design",2025-06-26
1229,PowerFix Ltd,"energy efficiency, carpentry, solar panels, insulation",2025-07-29
1230,ABC Constructions,"finishing, metal cutting, budgeting, leadership, circuit design",2025-06-20
1231,QuickBuild,"circuits, blueprint reading, electric systems, plumbing, multi-trade skills",2025-06-01
1232,ABC Constructions,"plumbing, pipe fitting, project management",2025-06-22
1233,UrbanGrid Energy,"testing, metal cutting, construction, installation, electric systems",2025-07-27
1234,PowerFix Ltd,"tools, framing, masonry, concrete mixing, plumbing",2025-06-09
1235,FreshCo Homes,"design, electrician, concrete mixing",2025-07-16
1236,MegaConstruct,"carpentry, HV lines, reinforcement, budgeting",2025-07-02
1237,PowerFix Ltd,"testing, circuits, electrician, budgeting",2025-06-01
1238,GreenBuild Tech,"circuits, tiles, solar panels, electrician",2025-07-19
1239,PlumbWell Services,"multi-trade skills, masonry, energy efficiency",2025-07-08
1240,PowerLine Engineers,"fabrication, tiles, circuits, circuit design, construction",2025-06-27
1241,FixItAll,"plumbing, multi-trade skills, finishing, budgeting, electric systems",2025-07-09
1242,TilePro Solutions,"testing, drywall, installation, repair, tiles",2025-07-22
1243,BuildRight Co.,"circuits, repair, maintenance, insulation",2025-07-17
1244,UrbanGrid Energy,"carpentry, pouring, welding, project management, metal cutting",2025-07-15
1245,MegaConstruct,"pipe fitting, tools, project management, construction",2025-06-03
1246,PowerLine Engineers,"testing, tools, circuits, repair, welding",2025-07-08
1247,GreenBuild Tech,"circuits, concrete mixing, welding, solar panels, HV lines",2025-07-17
1248,QuickBuild,"tools, metal cutting, tiles, budgeting, drywall",2025-06-27
1249,BuildRight Co.,"concrete mixing, insulation, circuit design, construction",2025-07-01
1250,GreenBuild Tech,"installation, construction, electrician, electric systems, safety protocols",2025-06-22
1251,GreenBuild Tech,"waterproofing, electric systems, finishing",2025-07-03
1252,PowerLine Engineers,"inspection, leadership, finishing, blueprint reading, waterproofing",2025-07-27
1253,FixItAll,"green building, leadership, welding, carpentry, masonry",2025-07-20
1254,TilePro Solutions,"blueprint reading, plumbing, metal cutting, fabrication, safety",2025-07-25
1255,UrbanGrid Energy,"circuits, plumbing, tools, concrete mixing",2025-07-10
1256,PowerLine Engineers,"electrician, circuits, design, green building",2025-06-24
1257,PowerFix Ltd,"insulation, project management, concrete mixing",2025-07-19
1258,SafeElectro,"metal cutting, safety, welding, design",2025-06-19
1259,PowerLine Engineers,"construction, welding, green building",2025-06-14
1260,BuildRight Co.,"masonry, blueprint reading, inspection",2025-07-20
1261,SteelWorks Inc.,"repair, welding, construction",2025-06-24
1262,SteelWorks Inc.,"masonry, fabrication, framing",2025-06-25
1263,FixItAll,"carpentry, welding, tools",2025-07-09
1264,ConcreteMasters,"budgeting, blueprint reading, inspection, masonry",2025-06-19
1265,SafeElectro,"energy efficiency, water systems, safety",2025-06-21
1266,FreshCo Homes,"inspection, pipe fitting, concrete mixing, blueprint reading, multi-trade skills",2025-07-30
1267,PowerFix Ltd,"installation, HV lines, masonry, fabrication",2025-06-29
1268,GreenBuild Tech,"construction, metal cutting, electrician, HV lines",2025-06-02
1269,TilePro Solutions,"tools, masonry, construction, tiles",2025-07-02
1270,BuildRight Co.,"green building, plumbing, construction, design",2025-06-16
1271,ConcreteMasters,"circuit design, tiles, concrete mixing, masonry, energy efficiency",2025-06-28
1272,BuildRight Co.,"construction, inspection, HV lines, green building",2025-07-07
1273,ABC Constructions,"energy efficiency, design, pouring, carpentry",2025-07-28
1274,SteelWorks Inc.,"pouring, design, HV lines, construction",2025-07-06
1275,ConcreteMasters,"framing, tiles, leadership",2025-07-11
1276,PowerLine Engineers,"framing, solar panels, pouring, welding",2025-06-24
1277,MegaConstruct,"multi-trade skills, finishing, reinforcement, solar panels, testing",2025-07-26
1278,UrbanGrid Energy,"concrete mixing, testing, masonry, carpentry, circuits",2025-06-17
1279,PlumbWell Services,"carpentry, budgeting, tiles, leadership",2025-07-05
1280,FixItAll,"reinforcement, pouring, pipe fitting",2025-07-04
1281,QuickBuild,"green building, pouring, fabrication, safety protocols",2025-06-17
1282,UrbanGrid Energy,"tools, maintenance, carpentry",2025-06-04
1283,FixItAll,"insulation, reinforcement, repair",2025-06-03
1284,SteelWorks Inc.,"blueprint reading, HV lines, electrician, insulation",2025-06-11
1285,BuildRight Co.,"design, welding, pouring",2025-06-16
1286,QuickBuild,"carpentry, reinforcement, multi-trade skills, waterproofing, insulation",2025-07-29
1287,PowerFix Ltd,"testing, fabrication, inspection",2025-07-03
1288,FixItAll,"multi-trade skills, inspection, concrete mixing, metal cutting, safety protocols",2025-06-30
1289,ConcreteMasters,"inspection, testing, waterproofing, electrician, drywall",2025-06-26
1290,MegaConstruct,"finishing, concrete mixing, electric systems, fabrication",2025-07-14
1291,PowerLine Engineers,"inspection, HV lines, waterproofing",2025-07-08
1292,QuickBuild,"welding, electrician, green building, repair",2025-06-01
1293,TilePro Solutions,"budgeting, circuits, pouring, metal cutting",2025-06-10
1294,UrbanGrid Energy,"plumbing, drywall, green building, circuit design, HV lines",2025-07-02
1295,TilePro Solutions,"testing, safety, energy efficiency, drywall, pipe fitting",2025-07-28
1296,SteelWorks Inc.,"concrete mixing, drywall, pipe fitting, energy efficiency",2025-06-07
1297,SafeElectro,"tiles, concrete mixing, waterproofing, water systems, multi-trade skills",2025-07-17
1298,ConcreteMasters,"multi-trade skills, circuit design, waterproofing",2025-07-04
1299,TilePro Solutions,"pouring, tools, masonry, tiles, solar panels",2025-07-28
1300,SafeElectro,"electrician, solar panels, masonry",2025-06-23
1301,MegaConstruct,"budgeting, green building, design",2025-06-28
1302,GreenBuild Tech,"safety protocols, plumbing, waterproofing, tiles, fabrication",2025-07-16
1303,GreenBuild Tech,"safety, circuit design, tiles, leadership",2025-06-22
1304,ConcreteMasters,"pipe fitting, pouring, budgeting, tiles, design",2025-07-03
1305,SteelWorks Inc.,"masonry, circuits, water systems, maintenance, HV lines",2025-06-25
1306,SteelWorks Inc.,"water systems, pipe fitting, fabrication, electrician",2025-07-12
1307,FreshCo Homes,"drywall, pouring, circuit design, electrician",2025-07-24
1308,TilePro Solutions,"repair, electrician, finishing, testing, circuits",2025-06-04
1309,QuickBuild,"design, metal cutting, insulation",2025-06-20
1310,FixItAll,"insulation, project management, solar panels",2025-07-04
1311,SafeElectro,"testing, tiles, pouring, safety, safety protocols",2025-06-27
1312,PowerFix Ltd,"leadership, water systems, electrician",2025-06-06
1313,GreenBuild Tech,"energy efficiency, tools, reinforcement",2025-06-03
1314,TilePro Solutions,"waterproofing, masonry, construction, framing, safety protocols",2025-06-06
1315,ABC Constructions,"HV lines, construction, design",2025-06-16
1316,QuickBuild,"framing, carpentry, green building, circuits",2025-07-07
1317,FixItAll,"green building, drywall, budgeting",2025-06-17
1318,PlumbWell Services,"safety, multi-trade skills, tiles, concrete mixing",2025-06-22
1319,SteelWorks Inc.,"pipe fitting, electrician, electric systems, construction, plumbing",2025-06-05
1320,ConcreteMasters,"project management, circuit design, leadership, maintenance",2025-06-16
1321,PowerLine Engineers,"finishing, drywall, water systems, HV lines, reinforcement",2025-07-15
1322,FixItAll,"plumbing, green building, inspection",2025-06-01
1323,SafeElectro,"carpentry, insulation, fabrication, pipe fitting",2025-07-09
1324,MegaConstruct,"welding, finishing, design",2025-07-18
1325,BuildRight Co.,"solar panels, masonry, safety protocols",2025-06-27
1326,UrbanGrid Energy,"blueprint reading, pipe fitting, carpentry, solar panels, pouring",2025-06-06
1327,PowerLine Engineers,"tiles, plumbing, inspection, maintenance",2025-06-03
1328,TilePro Solutions,"circuits, safety protocols, leadership",2025-06-20
1329,GreenBuild Tech,"welding, circuit design, budgeting",2025-07-01
1330,PowerLine Engineers,"circuit design, HV lines, budgeting, testing, waterproofing",2025-07-26
1331,FixItAll,"pouring, welding, installation, energy efficiency",2025-07-22
1332,SteelWorks Inc.,"safety, concrete mixing, plumbing",2025-07-02
1333,MegaConstruct,"construction, drywall, waterproofing, reinforcement",2025-07-11
1334,UrbanGrid Energy,"pouring, water systems, waterproofing, project management",2025-06-13
1335,PlumbWell Services,"safety, leadership, energy efficiency, concrete mixing",2025-06-13
1336,QuickBuild,"construction, masonry, solar panels, tiles",2025-07-12
1337,ConcreteMasters,"repair, waterproofing, carpentry, HV lines, circuit design",2025-07-07
1338,FreshCo Homes,"tools, testing, repair, welding, tiles",2025-06-17
1339,ABC Constructions,"installation, insulation, blueprint reading, concrete mixing",2025-06-10
1340,BuildRight Co.,"repair, circuits, energy efficiency",2025-07-11
1341,QuickBuild,"green building, reinforcement, pipe fitting",2025-07-03
1342,PowerFix Ltd,"pouring, pipe fitting, safety protocols, testing",2025-06-13
1343,SteelWorks Inc.,"masonry, pipe fitting, waterproofing",2025-07-16
1344,GreenBuild Tech,"pipe fitting, green building, electrician, safety, testing",2025-07-10
1345,PowerFix Ltd,"energy efficiency, solar panels, insulation, tiles",2025-06-06
1346,SafeElectro,"repair, pouring, maintenance, budgeting",2025-06-11
1347,GreenBuild Tech,"pouring, electrician, circuits",2025-07-22
1348,QuickBuild,"carpentry, construction, leadership, pipe fitting, metal cutting",2025-07-29
1349,QuickBuild,"electric systems, reinforcement, plumbing",2025-06-23
1350,QuickBuild,"inspection, electrician, testing, pipe fitting",2025-06-30
1351,GreenBuild Tech,"waterproofing, water systems, safety protocols",2025-06-22
1352,FixItAll,"tools, insulation, circuit design, concrete mixing",2025-07-21
1353,PowerLine Engineers,"repair, concrete mixing, reinforcement, project management, electric systems",2025-07-13
1354,SafeElectro,"repair, welding, tools, masonry, carpentry",2025-06-13
1355,UrbanGrid Energy,"installation, fabrication, solar panels, multi-trade skills, inspection",2025-07-16
1356,PlumbWell Services,"circuit design, circuits, waterproofing, safety",2025-07-26
1357,PowerFix Ltd,"reinforcement, blueprint reading, finishing, pipe fitting, HV lines",2025-06-06
1358,ABC Constructions,"tiles, budgeting, carpentry",2025-07-13
1359,FixItAll,"finishing, leadership, green building",2025-06-14
1360,BuildRight Co.,"circuits, safety protocols, electric systems, electrician",2025-07-15
1361,MegaConstruct,"welding, electric systems, leadership, testing",2025-06-14
1362,TilePro Solutions,"blueprint reading, construction, safety, inspection, drywall",2025-07-03
1363,PowerLine Engineers,"water systems, tiles, fabrication",2025-06-06
1364,PlumbWell Services,"green building, design, tiles, carpentry, waterproofing",2025-06-25
1365,ABC Constructions,"metal cutting, waterproofing, HV lines",2025-06-23
1366,PlumbWell Services,"reinforcement, solar panels, concrete mixing, safety protocols, design",2025-07-12
1367,QuickBuild,"drywall, multi-trade skills, energy efficiency",2025-06-15
1368,SafeElectro,"green building, project management, welding, tiles, repair",2025-07-03
1369,QuickBuild,"water systems, reinforcement, green building",2025-07-28
1370,BuildRight Co.,"project management, tools, design, plumbing, leadership",2025-06-10
1371,TilePro Solutions,"tools, tiles, blueprint reading, reinforcement, carpentry",2025-07-03
1372,FixItAll,"inspection, repair, reinforcement, welding, fabrication",2025-07-20
1373,TilePro Solutions,"green building, maintenance, circuit design, framing, installation",2025-07-17
1374,MegaConstruct,"welding, metal cutting, carpentry",2025-07-20
1375,ABC Constructions,"concrete mixing, water systems, multi-trade skills, maintenance, testing",2025-06-10
1376,UrbanGrid Energy,"pipe fitting, blueprint reading, energy efficiency, project management",2025-06-10
1377,PlumbWell Services,"electric systems, waterproofing, metal cutting, finishing",2025-07-18
1378,SteelWorks Inc.,"HV lines, drywall, tools, electrician",2025-07-04
1379,TilePro Solutions,"metal cutting, waterproofing, water systems",2025-06-12
1380,PlumbWell Services,"waterproofing, reinforcement, safety protocols, finishing",2025-06-03
1381,BuildRight Co.,"circuits, masonry, testing, concrete mixing, framing",2025-06-14
1382,FreshCo Homes,"insulation, green building, solar panels",2025-06-15
1383,QuickBuild,"budgeting, metal cutting, green building, circuits, electrician",2025-07-05
1384,PowerFix Ltd,"finishing, testing, electrician, welding",2025-07-26
1385,MegaConstruct,"tiles, safety protocols, finishing, reinforcement",2025-07-15
1386,QuickBuild,"water systems, inspection, circuit design",2025-07-03
1387,ABC Constructions,"repair, inspection, HV lines, maintenance, circuits",2025-06-14
1388,ConcreteMasters,"reinforcement, framing, circuits, concrete mixing",2025-07-10
1389,UrbanGrid Energy,"concrete mixing, multi-trade skills, pouring, tools, plumbing",2025-07-23
1390,PowerLine Engineers,"circuit design, testing, tiles, concrete mixing, reinforcement",2025-07-14
1391,BuildRight Co.,"construction, installation, electric systems, budgeting",2025-07-27
1392,FreshCo Homes,"reinforcement, repair, multi-trade skills, solar panels, electrician",2025-07-26
1393,SafeElectro,"maintenance, concrete mixing, multi-trade skills, green building, energy efficiency",2025-07-21
1394,SteelWorks Inc.,"metal cutting, plumbing, solar panels, masonry, design",2025-06-27
1395,TilePro Solutions,"HV lines, inspection, pipe fitting, reinforcement",2025-06-13
1396,PowerLine Engineers,"green building, electrician, safety protocols, repair, leadership",2025-06-02
1397,FixItAll,"carpentry, reinforcement, leadership",2025-06-17
1398,SteelWorks Inc.,"reinforcement, pipe fitting, finishing",2025-06-26
1399,ABC Constructions,"safety protocols, budgeting, concrete mixing",2025-07-18
1400,PowerLine Engineers,"waterproofing, plumbing, budgeting",2025-07-04
1401,SteelWorks Inc.,"fabrication, water systems, pouring",2025-07-20
1402,ConcreteMasters,"testing, metal cutting, pipe fitting, masonry",2025-06-07
1403,PowerLine Engineers,"green building, repair, multi-trade skills, metal cutting",2025-07-08
1404,BuildRight Co.,"carpentry, metal cutting, testing",2025-07-06
1405,PowerFix Ltd,"circuit design, tools, design, project management, pouring",2025-06-19
1406,UrbanGrid Energy,"water systems, carpentry, fabrication, finishing",2025-06-05
1407,PowerFix Ltd,"inspection, pouring, metal cutting, leadership, budgeting",2025-06-23
1408,BuildRight Co.,"circuit design, HV lines, drywall, plumbing",2025-06-09
1409,MegaConstruct,"HV lines, leadership, concrete mixing, energy efficiency, construction",2025-06-22
1410,FixItAll,"design, circuit design, concrete mixing",2025-06-20
1411,BuildRight Co.,"fabrication, installation, finishing",2025-06-16
1412,SteelWorks Inc.,"concrete mixing, green building, HV lines, testing",2025-07-12
1413,QuickBuild,"electrician, HV lines, fabrication, reinforcement, pipe fitting",2025-07-30
1414,SteelWorks Inc.,"multi-trade skills, plumbing, HV lines",2025-06-13
1415,BuildRight Co.,"masonry, insulation, reinforcement, drywall",2025-07-22
1416,SafeElectro,"framing, waterproofing, fabrication, design",2025-06-02
1417,GreenBuild Tech,"masonry, framing, installation",2025-07-30
1418,SteelWorks Inc.,"circuits, carpentry, installation, reinforcement, framing",2025-07-03
1419,UrbanGrid Energy,"energy efficiency, fabrication, testing, metal cutting",2025-06-21
1420,ABC Constructions,"finishing, energy efficiency, carpentry, reinforcement",2025-07-03
1421,PlumbWell Services,"tiles, energy efficiency, repair",2025-07-20
1422,FreshCo Homes,"insulation, pipe fitting, drywall",2025-06-26
1423,QuickBuild,"project management, framing, maintenance",2025-06-18
1424,TilePro Solutions,"tiles, safety protocols, electrician, pipe fitting, reinforcement",2025-06-24
1425,ABC Constructions,"blueprint reading, tools, drywall, masonry",2025-07-19
1426,PlumbWell Services,"insulation, project management, pouring, safety protocols, safety",2025-06-22
1427,MegaConstruct,"electrician, inspection, HV lines, tiles",2025-07-05
1428,ABC Constructions,"plumbing, maintenance, green building, welding",2025-07-01
1429,PowerFix Ltd,"construction, energy efficiency, multi-trade skills, safety protocols",2025-07-06
1430,FixItAll,"electric systems, plumbing, water systems",2025-06-21
1431,TilePro Solutions,"project management, installation, carpentry",2025-06-03
1432,FreshCo Homes,"project management, construction, reinforcement, HV lines",2025-07-27
1433,FixItAll,"waterproofing, carpentry, masonry, metal cutting",2025-07-18
1434,FreshCo Homes,"leadership, energy efficiency, safety protocols, electrician",2025-06-29
1435,BuildRight Co.,"green building, metal cutting, reinforcement, installation",2025-06-21
1436,SafeElectro,"electric systems, pouring, safety protocols, green building",2025-07-31
1437,BuildRight Co.,"repair, budgeting, carpentry, project management",2025-06-18
1438,FixItAll,"framing, HV lines, plumbing",2025-06-22
1439,GreenBuild Tech,"safety protocols, safety, reinforcement, circuits, inspection",2025-07-16
1440,MegaConstruct,"blueprint reading, project management, fabrication, framing",2025-06-27
1441,ABC Constructions,"blueprint reading, metal cutting, fabrication, maintenance, tools",2025-07-06
1442,UrbanGrid Energy,"project management, maintenance, design",2025-07-15
1443,QuickBuild,"tools, framing, leadership, safety protocols, green building",2025-07-03
1444,BuildRight Co.,"solar panels, pipe fitting, tools, circuit design",2025-06-13
1445,QuickBuild,"installation, tiles, tools, maintenance",2025-06-06
1446,UrbanGrid Energy,"electrician, drywall, circuits, reinforcement, multi-trade skills",2025-07-26
1447,GreenBuild Tech,"multi-trade skills, concrete mixing, carpentry, leadership, tools",2025-07-17
1448,ABC Constructions,"blueprint reading, reinforcement, safety, pipe fitting",2025-07-20
1449,GreenBuild Tech,"reinforcement, circuit design, construction, masonry",2025-06-05
1450,GreenBuild Tech,"pipe fitting, safety, carpentry, welding, concrete mixing",2025-07-18
1451,SteelWorks Inc.,"pipe fitting, inspection, plumbing, welding",2025-07-10
1452,BuildRight Co.,"plumbing, leadership, electrician, design, testing",2025-07-11
1453,UrbanGrid Energy,"maintenance, blueprint reading, design, concrete mixing, reinforcement",2025-07-23
1454,MegaConstruct,"project management, circuits, blueprint reading",2025-06-29
1455,PowerLine Engineers,"pouring, plumbing, pipe fitting",2025-06-21
1456,FreshCo Homes,"pipe fitting, construction, inspection",2025-06-25
1457,QuickBuild,"safety, installation, electric systems",2025-07-29
1458,MegaConstruct,"installation, pouring, electric systems",2025-07-16
1459,UrbanGrid Energy,"insulation, inspection, project management, tiles",2025-07-10
1460,ConcreteMasters,"metal cutting, construction, concrete mixing",2025-06-07
1461,PowerFix Ltd,"construction, fabrication, concrete mixing, safety",2025-07-05
1462,QuickBuild,"plumbing, electric systems, tiles",2025-06-01
1463,MegaConstruct,"maintenance, safety, circuits",2025-07-18
1464,UrbanGrid Energy,"repair, welding, solar panels, maintenance, design",2025-07-09
1465,ABC Constructions,"metal cutting, safety, green building, installation, project management",2025-06-08
1466,ConcreteMasters,"safety protocols, metal cutting, framing",2025-07-19
1467,GreenBuild Tech,"plumbing, finishing, fabrication, solar panels",2025-07-02
1468,GreenBuild Tech,"concrete mixing, blueprint reading, pouring",2025-07-08
1469,TilePro Solutions,"masonry, repair, project management",2025-07-02
1470,FixItAll,"blueprint reading, project management, masonry",2025-07-20
1471,ABC Constructions,"drywall, tiles, circuit design, HV lines",2025-06-20
1472,ABC Constructions,"circuit design, carpentry, green building, safety protocols",2025-06-23
1473,PlumbWell Services,"finishing, plumbing, budgeting",2025-07-11
1474,PlumbWell Services,"tools, pipe fitting, electrician, carpentry, concrete mixing",2025-06-12
1475,PowerFix Ltd,"budgeting, multi-trade skills, electrician, insulation",2025-06-21
1476,SafeElectro,"tiles, green building, plumbing, welding",2025-06-24
1477,FreshCo Homes,"maintenance, pouring, drywall, reinforcement",2025-07-10
1478,BuildRight Co.,"energy efficiency, blueprint reading, pipe fitting, multi-trade skills, welding",2025-07-11
1479,FreshCo Homes,"repair, insulation, electrician, pipe fitting, HV lines",2025-06-23
1480,MegaConstruct,"maintenance, construction, electrician",2025-07-19
1481,FreshCo Homes,"multi-trade skills, maintenance, plumbing",2025-07-25
1482,PowerLine Engineers,"circuit design, HV lines, inspection, maintenance",2025-06-21
1483,ConcreteMasters,"framing, concrete mixing, reinforcement, waterproofing",2025-07-02
1484,UrbanGrid Energy,"multi-trade skills, green building, framing, HV lines, finishing",2025-07-13
1485,UrbanGrid Energy,"multi-trade skills, electrician, construction, fabrication",2025-06-21
1486,PlumbWell Services,"safety protocols, metal cutting, solar panels, repair",2025-07-23
1487,ConcreteMasters,"budgeting, tools, repair, leadership, green building",2025-07-19
1488,FreshCo Homes,"inspection, welding, water systems, pipe fitting, safety protocols",2025-07-07
1489,FixItAll,"safety protocols, HV lines, reinforcement",2025-07-10
1490,PowerFix Ltd,"installation, safety, fabrication",2025-07-31
1491,UrbanGrid Energy,"project management, insulation, safety protocols, design",2025-06-05
1492,UrbanGrid Energy,"insulation, project management, tiles",2025-07-07
1493,PowerLine Engineers,"blueprint reading, installation, carpentry, water systems",2025-07-17
1494,SteelWorks Inc.,"leadership, drywall, waterproofing, safety, HV lines",2025-06-18
1495,PowerLine Engineers,"pouring, concrete mixing, tiles, leadership",2025-07-18
1496,BuildRight Co.,"fabrication, inspection, tools",2025-06-29
1497,SteelWorks Inc.,"multi-trade skills, concrete mixing, circuit design, tiles, installation",2025-06-22
1498,PowerLine Engineers,"metal cutting, blueprint reading, reinforcement, tools, masonry",2025-07-16
1499,SafeElectro,"insulation, green building, reinforcement",2025-06-06
1500,ConcreteMasters,"fabrication, welding, framing, HV lines",2025-07-06
1501,PlumbWell Services,"blueprint reading, framing, energy efficiency",2025-06-18
1502,FreshCo Homes,"leadership, green building, masonry, waterproofing, maintenance",2025-06-14
1503,BuildRight Co.,"fabrication, solar panels, energy efficiency, pouring",2025-07-29
1504,SteelWorks Inc.,"project management, welding, HV lines, circuits",2025-07-10
1505,SteelWorks Inc.,"inspection, leadership, green building",2025-06-24
1506,SafeElectro,"insulation, tools, water systems, inspection",2025-06-18
1507,PowerFix Ltd,"framing, carpentry, HV lines",2025-07-14
1508,BuildRight Co.,"framing, finishing, HV lines, blueprint reading, maintenance",2025-07-13
1509,MegaConstruct,"tiles, metal cutting, multi-trade skills",2025-07-23
1510,SteelWorks Inc.,"masonry, leadership, maintenance",2025-07-25
1511,SafeElectro,"HV lines, insulation, circuit design, framing",2025-07-19
1512,GreenBuild Tech,"design, tools, electric systems",2025-07-18
1513,MegaConstruct,"project management, carpentry, concrete mixing, installation",2025-06-12
1514,SafeElectro,"masonry, electric systems, construction, budgeting, project management",2025-07-08
1515,ABC Constructions,"electrician, circuit design, metal cutting, installation",2025-07-15
1516,ABC Constructions,"water systems, safety, pouring, electric systems",2025-06-28
1517,GreenBuild Tech,"repair, circuit design, fabrication, reinforcement, project management",2025-06-20
1518,UrbanGrid Energy,"insulation, electrician, solar panels, installation",2025-06-10
1519,SteelWorks Inc.,"safety, construction, repair, green building",2025-07-26
1520,BuildRight Co.,"energy efficiency, carpentry, construction, welding",2025-06-14
1521,PowerFix Ltd,"reinforcement, green building, inspection",2025-06-20
1522,BuildRight Co.,"project management, waterproofing, safety protocols, metal cutting, framing",2025-06-06
1523,PowerFix Ltd,"framing, circuits, HV lines",2025-07-21
1524,BuildRight Co.,"fabrication, tiles, pouring",2025-07-11
1525,UrbanGrid Energy,"concrete mixing, installation, circuits, multi-trade skills, leadership",2025-06-06
1526,SafeElectro,"pouring, finishing, safety protocols, water systems, plumbing",2025-07-25
1527,SteelWorks Inc.,"leadership, circuits, pipe fitting, circuit design, reinforcement",2025-06-03
1528,ConcreteMasters,"pipe fitting, HV lines, water systems, insulation, design",2025-07-27
1529,ConcreteMasters,"water systems, metal cutting, concrete mixing",2025-06-24
1530,QuickBuild,"circuit design, repair, circuits, drywall",2025-06-12
1531,FixItAll,"finishing, reinforcement, carpentry, metal cutting, insulation",2025-07-07
1532,TilePro Solutions,"pouring, concrete mixing, budgeting, water systems",2025-06-05
1533,UrbanGrid Energy,"testing, solar panels, framing, waterproofing, metal cutting",2025-06-30
1534,GreenBuild Tech,"solar panels, drywall, plumbing",2025-06-30
1535,GreenBuild Tech,"inspection, carpentry, electrician",2025-06-20
1536,FixItAll,"tiles, fabrication, testing, blueprint reading",2025-06-29
1537,PowerLine Engineers,"safety protocols, energy efficiency, masonry, welding, leadership",2025-07-10
1538,GreenBuild Tech,"safety protocols, safety, fabrication, carpentry",2025-06-17
1539,ConcreteMasters,"metal cutting, concrete mixing, welding",2025-07-20
1540,ABC Constructions,"waterproofing, inspection, metal cutting, repair, circuits",2025-07-08
1541,SteelWorks Inc.,"tools, electric systems, installation, metal cutting, HV lines",2025-06-03
1542,UrbanGrid Energy,"green building, design, masonry",2025-06-23
1543,QuickBuild,"maintenance, green building, budgeting, installation, inspection",2025-07-07
1544,GreenBuild Tech,"energy efficiency, green building, concrete mixing, maintenance",2025-07-31
1545,UrbanGrid Energy,"carpentry, safety, circuit design",2025-06-05
1546,PowerFix Ltd,"HV lines, repair, design, welding",2025-07-30
1547,PowerFix Ltd,"design, leadership, electrician, multi-trade skills, drywall",2025-06-11
1548,PowerLine Engineers,"drywall, safety protocols, metal cutting",2025-06-21
1549,MegaConstruct,"tiles, green building, circuits, concrete mixing",2025-07-21
1550,SteelWorks Inc.,"repair, pipe fitting, circuits",2025-06-06
1551,FixItAll,"repair, pipe fitting, concrete mixing, multi-trade skills",2025-07-18
1552,PowerLine Engineers,"maintenance, drywall, pouring, repair, pipe fitting",2025-07-28
1553,PlumbWell Services,"circuit design, concrete mixing, waterproofing",2025-06-09
1554,UrbanGrid Energy,"solar panels, circuits, HV lines, fabrication",2025-07-27
1555,BuildRight Co.,"circuits, solar panels, construction",2025-06-17
1556,TilePro Solutions,"safety protocols, carpentry, metal cutting, plumbing, tools",2025-06-29
1557,PowerLine Engineers,"insulation, tiles, inspection",2025-06-30
1558,PowerFix Ltd,"inspection, circuits, framing, pouring, solar panels",2025-07-22
1559,MegaConstruct,"tools, solar panels, waterproofing, circuit design",2025-06-19
1560,SteelWorks Inc.,"waterproofing, concrete mixing, design, green building",2025-06-17
1561,TilePro Solutions,"HV lines, carpentry, energy efficiency, concrete mixing, maintenance",2025-07-29
1562,PlumbWell Services,"waterproofing, circuits, testing, concrete mixing",2025-07-07
1563,SteelWorks Inc.,"project management, waterproofing, safety protocols, multi-trade skills, construction",2025-06-03
1564,PlumbWell Services,"inspection, plumbing, insulation, multi-trade skills, construction",2025-06-18
1565,GreenBuild Tech,"inspection, project management, testing",2025-07-24
1566,PowerLine Engineers,"green building, concrete mixing, framing, electric systems",2025-06-04
1567,SteelWorks Inc.,"multi-trade skills, maintenance, budgeting, fabrication, waterproofing",2025-07-23
1568,BuildRight Co.,"fabrication, maintenance, green building",2025-07-06
1569,TilePro Solutions,"pipe fitting, metal cutting, circuit design",2025-06-22
1570,SteelWorks Inc.,"inspection, tiles, waterproofing, circuit design",2025-06-27
1571,FixItAll,"tiles, insulation, safety protocols, budgeting",2025-06-07
1572,PowerLine Engineers,"waterproofing, fabrication, solar panels, water systems, metal cutting",2025-06-30
1573,QuickBuild,"energy efficiency, construction, tools, plumbing, metal cutting",2025-07-18
1574,ConcreteMasters,"testing, circuits, safety protocols, framing, drywall",2025-07-06
1575,MegaConstruct,"masonry, plumbing, inspection, safety protocols, insulation",2025-06-20
1576,PlumbWell Services,"circuit design, repair, insulation, energy efficiency",2025-06-28
1577,PowerLine Engineers,"energy efficiency, electric systems, waterproofing, electrician",2025-07-09
1578,PowerLine Engineers,"electric systems, repair, plumbing, project management, construction",2025-07-03
1579,PowerFix Ltd,"budgeting, framing, construction, tools, circuits",2025-06-24
1580,UrbanGrid Energy,"safety, finishing, testing, waterproofing",2025-07-20
1581,FixItAll,"circuit design, multi-trade skills, insulation",2025-07-16
1582,FixItAll,"metal cutting, design, carpentry, energy efficiency, inspection",2025-07-04
1583,FixItAll,"construction, project management, safety",2025-07-20
1584,TilePro Solutions,"finishing, circuits, repair",2025-06-01
1585,SteelWorks Inc.,"construction, pipe fitting, welding, waterproofing",2025-07-14
1586,BuildRight Co.,"plumbing, reinforcement, green building, inspection, HV lines",2025-07-14
1587,TilePro Solutions,"safety, insulation, pipe fitting, framing",2025-07-16
1588,FreshCo Homes,"pipe fitting, circuits, drywall",2025-07-17
